N_agents,sigma,steps,exponent,N_simulations,monopoly%,commune%,dynamic
20,0.1,10000,12.5,25.0,0.0,0.9398610138986101,commune
20,0.1,10000,12.6,25.0,0.15183481651834815,0.7885961403859614,mixed
20,0.1,10000,12.7,25.0,0.09742525747425254,0.8321367863213679,mixed
20,0.1,10000,12.8,25.0,0.1962403759624037,0.7302369763023697,mixed
20,0.1,10000,12.9,25.0,0.10598440155984395,0.8047970202979702,mixed
20,0.1,10000,13.0,25.0,0.19226077392260776,0.7257099290070992,mixed
20,0.1,10000,13.1,25.0,0.47090040995900406,0.46225377462253775,mixed
20,0.1,10000,13.2,25.0,0.3818668133186681,0.5376137386261375,mixed
20,0.1,10000,13.3,25.0,0.5918233176682332,0.3396585341465853,mixed
20,0.1,10000,13.4,25.0,0.6804494550544946,0.26078142185781417,mixed
20,0.1,10000,13.5,25.0,0.7013598640135985,0.23410658934106587,mixed
20,0.1,10000,13.6,25.0,0.7994150584941504,0.15047495250474952,mixed
20,0.1,10000,13.7,25.0,0.8697080291970802,0.08974602539746024,mixed
20,0.1,10000,13.8,25.0,0.8986776322367763,0.0628237176282371,mixed
20,0.1,10000,13.9,25.0,0.8965528447155283,0.0658659134086591,mixed
20,0.1,10000,14.0,5.0,0.9133886611338866,0.0512548745125487,monopoly
20,0.1,10000,14.1,5.0,0.924067593240676,0.041995800419958,monopoly
20,0.1,10000,14.2,5.0,0.9425057494250574,0.0254174582541745,monopoly
20,0.1,10000,14.3,5.0,0.9246875312468752,0.0380161983801619,monopoly
20,0.1,10000,14.4,5.0,0.9515048495150484,0.018958104189581,monopoly
20,0.1,10000,14.5,5.0,0.9445055494450556,0.0208179182081791,monopoly
20,0.1,10000,14.6,5.0,0.948025197480252,0.0168183181681831,monopoly
20,0.1,10000,14.7,5.0,0.9557644235576443,0.0141185881411858,monopoly
20,0.1,10000,14.8,5.0,0.9642035796420358,0.0057394260573942,monopoly
20,0.1,10000,14.9,5.0,0.95994400559944,0.0112388761123887,monopoly
20,0.1,10000,15.0,5.0,0.9654034596540348,0.0072992700729927,monopoly
20,0.1,10000,15.1,5.0,0.9650034996500348,0.0060393960603939,monopoly
20,0.1,10000,15.2,5.0,0.9634836516348364,0.0063193680631936,monopoly
20,0.1,10000,15.3,5.0,0.9682831716828316,0.0056594340565943,monopoly
