N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1_rel,error
4,1.0,0.5,0.24,1.0,0.1,10000,500.0,0.3657502885759058,0.0033426965842101
4,1.0,0.5,0.26,1.0,0.1,10000,500.0,0.3680286442837696,0.0031851846817254996
4,1.0,0.5,0.28,1.0,0.1,10000,500.0,0.3739010466925391,0.0030949455987729995
4,1.0,0.5,0.3,1.0,0.1,10000,500.0,0.3790969075671831,0.003409955466444
4,1.0,0.5,0.32,1.0,0.1,10000,500.0,0.3806436664539741,0.0034864858986037
4,1.0,0.5,0.34,1.0,0.1,10000,500.0,0.3763067489148323,0.0034864513338847
4,1.0,0.5,0.36,1.0,0.1,10000,500.0,0.3797022353874975,0.0034968295309785995
4,1.0,0.5,0.38,1.0,0.1,10000,500.0,0.3879057855711744,0.0035915501358990995
4,1.0,0.5,0.4,1.0,0.1,10000,500.0,0.3831559850019338,0.0037373281321489995
4,1.0,0.5,0.42,1.0,0.1,10000,600.0,0.3819580538364508,0.005003911118421617
4,1.0,0.5,0.44,1.0,0.1,10000,500.0,0.3788449193167635,0.0036350842345105995
4,1.0,0.5,0.46,1.0,0.1,10000,500.0,0.3850281682231794,0.0041443068974761
4,1.0,0.5,0.48,1.0,0.1,10000,500.0,0.3810533051440505,0.0038388151202824
4,1.0,0.5,0.5,1.0,0.1,10000,500.0,0.3778838299268818,0.0037573117311448
4,1.0,0.5,0.52,1.0,0.1,10000,500.0,0.3739429650344538,0.0037551936011686
4,1.0,0.5,0.54,1.0,0.1,10000,500.0,0.385658942185166,0.0040860060341452
4,1.0,0.5,0.56,1.0,0.1,10000,500.0,0.3813252694526479,0.0038000953833988
4,1.0,0.5,0.58,1.0,0.1,10000,500.0,0.376939704906421,0.0040597071580498
4,1.0,0.5,0.6,1.0,0.1,10000,500.0,0.3780845612013671,0.0041352458882402
4,1.0,0.5,0.62,1.0,0.1,10000,500.0,0.3774757591431381,0.0039683320063357
4,1.0,0.5,0.64,1.0,0.1,10000,500.0,0.376624612047035,0.004019689711411199
4,1.0,0.5,0.66,1.0,0.1,10000,500.0,0.3853307482735169,0.0040481972507077
4,1.0,0.5,0.68,1.0,0.1,10000,500.0,0.3807388851844616,0.0041748809698664
4,1.0,0.5,0.7000000000000001,1.0,0.1,10000,600.0,0.3712441812389226,0.005452529406705834
4,1.0,0.5,0.72,1.0,0.1,10000,500.0,0.372544409757414,0.0042369220185937
4,1.0,0.5,0.74,1.0,0.1,10000,500.0,0.3808372618880992,0.00400487613272
4,1.0,0.5,0.76,1.0,0.1,10000,500.0,0.3733242814559353,0.0041778893223953
4,1.0,0.5,0.78,1.0,0.1,10000,500.0,0.3634664802088085,0.0043471877886389
4,1.0,0.5,0.8,1.0,0.1,10000,500.0,0.3724811302830686,0.0041449823024757
4,1.0,0.5,0.8200000000000001,1.0,0.1,10000,500.0,0.3679801299537428,0.0043327757326724
4,1.0,0.5,0.84,1.0,0.1,10000,500.0,0.3739073652047952,0.0043210704005422
4,1.0,0.5,0.86,1.0,0.1,10000,500.0,0.3713878217875471,0.0042972654032601
4,1.0,0.5,0.88,1.0,0.1,10000,500.0,0.368362112571114,0.0041516862487288
