N_agents,x_ini,a_i,a_1,mu,sigma,time_steps,N_simulations,gamma_1,gamma_1_def,gamma_1_rel,error,rel_error
3,1.0,0.5,0.06,1.0,0.1,10000,100,-0.3255926355733122,-0.5087869325990216,0.18319429702570939,0.002675089449496398,0.014602471217327127
3,1.0,0.5,0.34,1.0,0.1,10000,100,-0.16676957122815417,-0.5090779080198807,0.34230833679172656,0.0065056190714599515,0.019005143527714367
2,1.0,0.5,0.7000000000000001,1.0,0.1,10000,100,-0.25969641317285924,-0.5052014390777972,0.2455050259049381,0.007654624463775218,0.031179094747898
2,1.0,0.5,0.44,1.0,0.1,10000,100,-0.2596962177478493,-0.5144424475025587,0.25474622975470934,0.00668048953049005,0.026224095787099874
2,1.0,0.5,1.28,1.0,0.1,10000,100,-0.29558078322896786,-0.4840081749530982,0.18842739172413028,0.010026142391925317,0.05320958009440702
2,1.0,0.5,0.16,1.0,0.1,10000,100,-0.31299126294357305,-0.5028406826899383,0.1898494197463653,0.00398345637653053,0.020982188841305604
2,1.0,0.5,1.0,1.0,0.1,10000,100,-0.29786520983423365,-0.5296448230363655,0.23177961320213197,0.009442516021908617,0.040739200016154664
3,1.0,0.5,0.08,1.0,0.1,10000,100,-0.29097603972646,-0.5057694923019239,0.21479345257546395,0.002915606991684326,0.013574003102631717
3,1.0,0.5,0.36,1.0,0.1,10000,100,-0.16314797311894572,-0.49962415922501435,0.3364761861060686,0.008235090630485577,0.024474512522825613
2,1.0,0.5,0.72,1.0,0.1,10000,100,-0.26414266830198146,-0.5264977146317813,0.26235504632979983,0.009150976154251537,0.034880122499142165
2,1.0,0.5,0.46,1.0,0.1,10000,100,-0.25770409966670943,-0.5239468274828476,0.2662427278161383,0.0068542557927807266,0.02574438689463148
2,1.0,0.5,1.3,1.0,0.1,10000,100,-0.30535258218627187,-0.5082020619377737,0.20284947975150175,0.010500334249218366,0.05176416652427047
2,1.0,0.5,0.18,1.0,0.1,10000,100,-0.30271069414505225,-0.5038461306573077,0.2011354365122554,0.0038519422345838572,0.019150987520536462
3,1.0,0.5,0.1,1.0,0.1,10000,100,-0.27518987455762184,-0.5151542268808491,0.2399643523232272,0.003440522584200709,0.014337640365708962
2,1.0,0.5,1.02,1.0,0.1,10000,100,-0.2881712440233602,-0.516682690870157,0.2285114468467967,0.009449594518007044,0.04135282782723105
3,1.0,0.5,0.38,1.0,0.1,10000,100,-0.1683708940009713,-0.5040332100805872,0.3356623160796159,0.006839269597315361,0.02037544660120009
2,1.0,0.5,0.74,1.0,0.1,10000,100,-0.2649473186287669,-0.49205930197764314,0.22711198334887606,0.008261715635820203,0.03637727747341734
2,1.0,0.5,0.48,1.0,0.1,10000,100,-0.25369946027593243,-0.5209323742125377,0.2672329139366055,0.0071566883839704245,0.026780714540530645
2,1.0,0.5,1.32,1.0,0.1,10000,100,-0.3037612676177379,-0.50198013377232,0.1982188661545821,0.010264602196211463,0.0517841837931136
2,1.0,0.5,0.2,1.0,0.1,10000,100,-0.31047233067550384,-0.5270035951861537,0.2165312645106499,0.004034499780428157,0.018632412227148492
2,1.0,0.5,1.04,1.0,0.1,10000,100,-0.28381596923217256,-0.5012328970985995,0.21741692786642694,0.00943591343503713,0.04340008631174391
3,1.0,0.5,0.12,1.0,0.1,10000,100,-0.25021105761029533,-0.5135149910778989,0.26330393346760356,0.0041789363383911765,0.015871150435758093
3,1.0,0.5,0.4,1.0,0.1,10000,100,-0.17602232879718605,-0.5258601758362076,0.3498378470390216,0.008866738677065162,0.02534528139854505
2,1.0,0.5,0.76,1.0,0.1,10000,100,-0.26343337359954,-0.506744807093586,0.24331143349404605,0.0082629953636601,0.03396057162213999
2,1.0,0.5,0.5,1.0,0.1,10000,100,-0.2541606250892629,-0.5038212374968366,0.24966061240757373,0.007147651405400779,0.02862947157131922
2,1.0,0.5,1.34,1.0,0.1,10000,100,-0.31151429392474245,-0.48622166703042957,0.17470737310568718,0.01133787708720006,0.06489638580016507
2,1.0,0.5,0.22,1.0,0.1,10000,100,-0.2788834993989553,-0.49633253379148107,0.21744903439252572,0.004138116264824505,0.019030281170872576
3,1.0,0.5,0.14,1.0,0.1,10000,100,-0.23061305772225457,-0.5021423182399576,0.27152926051770304,0.004399017665419732,0.016200897306730327
2,1.0,0.5,1.06,1.0,0.1,10000,100,-0.3002018926947795,-0.52777991908937,0.22757802639459046,0.009723077123311458,0.042724147306088846
3,1.0,0.5,0.42,1.0,0.1,10000,100,-0.16220039714390377,-0.505044236896863,0.342843839752959,0.007512490339541861,0.021912280369264014
2,1.0,0.5,0.78,1.0,0.1,10000,100,-0.24723793827758878,-0.5077012200300637,0.2604632817524749,0.009165339900920074,0.03518860639109254
2,1.0,0.5,0.52,1.0,0.1,10000,100,-0.24715255844769823,-0.5078381235635331,0.2606855651158348,0.007170575072114681,0.027506605779757918
2,1.0,0.5,1.36,1.0,0.1,10000,100,-0.3061261935153214,-0.4964088934526675,0.19028269993734614,0.010276352144985273,0.0540057091284123
2,1.0,0.5,0.24,1.0,0.1,10000,100,-0.29494860148576874,-0.5274256219542092,0.23247702046844038,0.004285500949811489,0.01843408411367377
3,1.0,0.5,0.16,1.0,0.1,10000,100,-0.20828488835722805,-0.48654733186913335,0.27826244351190543,0.004976250108576781,0.01788329767313307
2,1.0,0.5,1.08,1.0,0.1,10000,100,-0.2855987344991966,-0.49622501671287417,0.21062628221367766,0.010824746526517773,0.05139314245473035
